7天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'002110,三钢闽光,20221101,20221110,4.34,4.59,5.76%
'000961,中南建设,20220718,20220727,2.67,2.85,6.74%
'603059,倍加洁,20220505,20220516,17.11,18.03,5.38%
'300928,华安鑫创,20220505,20220516,39.17,43.92,12.13%
'000636,风华高科,20220505,20220516,16.40,16.46,0.37%
'603160,汇顶科技,20220429,20220513,56.49,57.46,1.72%
'002212,天融信,20220429,20220513,9.24,9.48,2.60%
'002860,星帅尔,20220429,20220513,13.28,14.19,6.85%
'002979,雷赛智能,20220429,20220513,14.81,16.16,9.12%
'300222,科大智能,20220429,20220513,6.28,6.54,4.14%
'300932,三友联众,20220429,20220513,20.75,22.04,6.22%
'301086,鸿富瀚,20220429,20220513,51.46,54.95,6.78%
'600343,航天动力,20220429,20220513,8.55,9.45,10.53%
'300420,五洋停车,20220429,20220513,2.50,2.58,3.20%
'603988,中电电机,20220429,20220513,8.35,8.90,6.59%
'688088,虹软科技,20220429,20220513,22.65,23.03,1.68%
'688095,福昕软件,20220429,20220513,88.01,87.41,-0.68%
'688312,燕麦科技,20220429,20220513,15.85,15.90,0.32%
'688316,青云科技,20220429,20220513,30.75,31.18,1.40%
'688386,泛亚微透,20220429,20220513,33.94,35.78,5.42%
'688511,天微电子,20220429,20220513,31.73,34.00,7.15%
'688788,科思科技,20220429,20220513,54.83,56.88,3.74%
'600071,凤凰光学,20220428,20220512,26.59,30.92,16.28%
'603096,新经典,20220428,20220512,16.35,17.44,6.67%
'603278,大业股份,20220428,20220512,7.92,8.24,4.04%
'688069,德林海,20220428,20220512,35.70,37.58,5.27%
'688056,莱伯泰科,20220428,20220512,30.00,33.32,11.07%
'688286,敏芯股份,20220428,20220512,39.20,47.71,21.71%
'688528,秦川物联,20220428,20220512,9.70,9.40,-3.09%
'603530,神马电力,20220427,20220511,9.65,10.53,9.12%
'300115,长盈精密,20220427,20220511,7.41,8.02,8.23%
'300421,力星股份,20220427,20220511,7.96,8.44,6.03%
'300672,国科微,20220427,20220511,69.15,64.44,-6.81%
'300790,宇瞳光学,20220427,20220511,23.55,24.39,3.57%
'300842,帝科股份,20220427,20220511,34.37,37.75,9.83%
'301023,江南奕帆,20220427,20220511,54.59,59.41,8.83%
'688316,青云科技,20220427,20220511,30.31,31.53,4.03%
'603730,岱美股份,20220427,20220511,10.87,12.30,13.16%
'603960,克来机电,20220427,20220511,13.92,15.99,14.87%
'688006,杭可科技,20220427,20220511,42.40,50.70,19.58%
'688186,广大特材,20220427,20220511,19.75,23.15,17.22%
'688193,仁度生物,20220427,20220511,48.18,56.20,16.65%
'688314,康拓医疗,20220427,20220511,38.44,40.94,6.50%
'688083,中望软件,20220418,20220427,199.20,189.09,-5.08%
'300421,力星股份,20220418,20220427,9.64,7.96,-17.43%
