10天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'002157,正邦科技,20221103,20221122,3.83,3.94,2.87%
'000961,中南建设,20220719,20220729,2.69,2.84,5.58%
'002979,雷赛智能,20220505,20220610,14.61,16.93,15.88%
'002782,可立克,20220429,20220608,8.82,15.9,80.27%
'001210,金房节能,20220318,20220322,25.7,28.92,12.53%
'300792,壹网壹创,20220317,20220328,34.03,35.25,3.59%
'001210,金房节能,20220311,20220315,27.51,25.58,-7.02%
'002614,奥佳华,20211102,20211115,11.3,11.98,6.02%
'600095,湘财股份,20211026,20211108,8.72,9.05,3.78%
'605122,四方新材,20210803,20210816,21.47,22.4,4.33%
'300578,会畅通讯,20210513,20210518,23.84,24.78,3.94%
'601696,中银证券,20210430,20210518,15.65,15.4,-1.60%
'000620,新华联,20210111,20210122,2.15,2.28,6.05%
'000620,新华联,20210106,20210107,2.29,2.13,-6.99%
'002602,世纪华通,20201228,20210111,6.88,6.94,0.87%
'600640,国脉文化,20201104,20201111,13.85,14.22,2.67%
'603186,华正新材,20201028,20201102,32.81,30.51,-7.01%
'002746,仙坛股份,20200207,20200228,13.04,14.74,13.04%
'000863,三湘印象,20200206,20200219,3.98,4.12,3.52%
'000056,皇庭国际,20190809,20190821,3.59,3.86,7.52%
'002358,ST森源,20190808,20190821,7.79,8.23,5.65%
'600122,ST宏图,20190211,20190221,3.18,3.83,20.44%
'002617,露笑科技,20190131,20190220,3.22,4.1,27.33%
'000892,欢瑞世纪,20181022,20181114,3.65,5.4,47.95%
'300521,爱司凯,20181017,20181019,8.28,7.63,-7.85%
'000049,德赛电池,20181016,20181025,21.91,23.35,6.57%
'000018,神城A退,20180905,20180906,2.78,2.84,2.16%
'000727,冠捷科技,20180626,20180709,1.83,1.88,2.73%
'002400,省广集团,20180625,20180711,3.1,3.17,2.26%
'002684,猛狮退,20180309,20180319,13.88,14.97,7.85%
'300249,依米康,20180208,20180315,6.06,7.11,17.33%
'300430,诚益通,20180206,20180226,16.55,16.93,2.30%
