20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'002430,杭氧股份,20230825,持仓,29.83,32.91,10.33%
'002531,天顺风能,20221102,20221129,12.44,13.86,11.41%
'605305,中际联合,20220506,20220512,40.7,48.02,17.99%
'688662,富信科技,20220506,20220524,22.53,28.8,27.83%
'002026,山东威达,20220506,20220608,9.08,10.62,16.96%
'603890,春秋电子,20220505,20220601,7.98,9.05,13.41%
'300219,鸿利智汇,20220505,20220601,7.14,7.99,11.90%
'688049,炬芯科技,20220505,20220601,30.0,34.2,14.00%
'600071,凤凰光学,20220429,20220525,27.27,32.11,17.75%
'300115,长盈精密,20220429,20220602,7.4,9.64,30.27%
'300938,信测标准,20211103,20211129,41.34,49.61,20.00%
'601100,恒立液压,20210514,20210610,77.68,79.53,2.38%
'002567,唐人神,20200207,20200306,7.22,8.85,22.58%
'002512,达华智能,20190212,20190220,4.07,4.87,19.66%
'600122,*ST宏图,20190211,20190221,3.18,3.83,20.44%
'600711,盛屯矿业,20181023,20181119,4.96,5.62,13.31%
'300613,富瀚微,20181023,20181119,88.99,105.52,18.58%
'601108,财通证券,20181022,20181107,6.95,8.09,16.40%
'300100,双林股份,20181022,20181108,7.55,8.88,17.62%
'000049,德赛电池,20181016,20181120,21.91,29.65,35.33%
'002522,浙江众成,20180824,20180830,5.17,4.73,-8.51%
