10天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'301246,宏源药业,20231027,持有,19.99,23.34,16.76%
'301321,翰博高新,20221103,20221117,19.99,23.34,16.76%
'300741,华宝股份,20221014,20221110,22.97,24.88,8.32%
'688292,浩瀚深度,20221013,20221101,13.9,16.84,21.15%
'301330,熵基科技,20221013,20221101,31.37,37.75,20.34%
'300908,仲景食品,20220602,20220630,34.33,37.63,9.61%
'688219,会通股份,20220505,20220601,8.3,9.42,13.49%
'301008,宏昌科技,20220321,20220413,36.0,34.02,-5.50%
'000671,ST阳光城,20220318,20220325,2.4,3.7,54.17%
'301052,果麦文化,20211104,20211116,26.75,32.2,20.37%
'300968,格林精密,20211104,20211117,12.79,14.2,11.02%
'301065,本立科技,20211102,20211111,43.42,56.59,30.33%
'300868,杰美特,20211101,20211112,23.58,24.89,5.56%
'300879,大叶股份,20210803,20210816,21.88,22.79,4.16%
'301001,凯淳股份,20210729,20210811,31.3,33.72,7.73%
'688159,有方科技,20210512,20210525,21.0,21.78,3.71%
'600516,方大炭素,20201029,20201111,6.17,6.66,7.94%
'002836,新宏泽,20190215,20190228,11.64,13.36,14.78%
'600936,广西广电,20181022,20181102,3.62,4.09,12.98%
