20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'601225,陕西煤业,20231101,持仓,18.06,17.95,-0.61%
'601633,长城汽车,20230926,20231031,25.8,29.38,13.88%
'601225,陕西煤业,20230829,20230925,16.97,18.76,10.55%
'601225,陕西煤业,20230801,20230828,16.23,16.98,4.62%
'601633,长城汽车,20230704,20230731,25.9,29.56,14.13%
'002466,天齐锂业,20230531,20230629,73.1,71.31,-2.45%
'601225,陕西煤业,20230426,20230526,19.3,17.93,-7.10%
'601225,陕西煤业,20230328,20230425,19.57,19.35,-1.12%
'601225,陕西煤业,20230228,20230327,20.08,19.57,-2.54%
'601225,陕西煤业,20230131,20230227,19.62,20.1,2.45%
'002415,海康威视,20221226,20230130,34.63,37.05,6.99%
'002415,海康威视,20221128,20221223,29.7,34.63,16.60%
'002415,海康威视,20221031,20221125,27.01,30.9,14.40%
'601225,陕西煤业,20220926,20221028,22.72,21.41,-5.77%
'601225,陕西煤业,20220826,20220923,23.41,23.11,-1.28%
'601225,陕西煤业,20220729,20220825,19.47,23.6,21.21%
'601225,陕西煤业,20220701,20220728,19.65,19.47,-0.92%
'601225,陕西煤业,20220602,20220630,19.16,21.18,10.54%
'601225,陕西煤业,20220505,20220601,17.21,19.34,12.38%
'601225,陕西煤业,20220331,20220429,16.08,17.21,7.03%
'601225,陕西煤业,20220303,20220330,15.02,15.94,6.13%
'601225,陕西煤业,20220127,20220302,12.9,14.85,15.12%
'601225,陕西煤业,20211229,20220126,12.3,12.81,4.15%
'002475,立讯精密,20211201,20211228,39.58,48.18,21.73%
'002475,立讯精密,20211103,20211130,40.0,39.65,-0.88%
'601225,陕西煤业,20211021,20211102,13.77,12.05,-12.49%
'601225,陕西煤业,20210913,20211019,15.09,14.85,-1.59%
'601225,陕西煤业,20210813,20210910,11.26,15.23,35.26%
'601225,陕西煤业,20210716,20210812,11.14,11.33,1.71%
'601225,陕西煤业,20210618,20210715,11.15,11.14,-0.09%
'601225,陕西煤业,20210520,20210617,11.45,11.98,4.63%
'601225,陕西煤业,20210419,20210519,11.4,11.78,3.33%
'601225,陕西煤业,20210319,20210416,11.4,11.35,-0.44%
'601225,陕西煤业,20210219,20210318,11.6,11.62,0.17%
'601225,陕西煤业,20210115,20210218,10.2,11.33,11.08%
'002415,海康威视,20201217,20210114,45.74,57.24,25.14%
'002415,海康威视,20201119,20201216,46.75,46.0,-1.60%
'002415,海康威视,20201022,20201118,39.12,45.85,17.20%
'002415,海康威视,20200916,20201021,37.6,39.26,4.41%
'002415,海康威视,20200819,20200915,38.98,37.64,-3.44%
'002415,海康威视,20200722,20200818,35.68,39.07,9.50%
'002415,海康威视,20200622,20200721,30.18,34.69,14.94%
'002475,立讯精密,20200525,20200619,34.05,45.6,33.92%
'002475,立讯精密,20200422,20200522,41.03,44.55,8.58%
'603288,海天味业,20200324,20200421,102.38,124.99,22.08%
'002475,立讯精密,20200310,20200317,42.13,36.86,-12.51%
'002475,立讯精密,20200303,20200309,50.05,43.79,-12.51%
'002475,立讯精密,20200204,20200302,41.58,48.59,16.86%
'002475,立讯精密,20191227,20200203,35.5,40.7,14.65%
