20天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'301507,民生健康,20231024,20231121,17.94,20.09,11.98%
'688659,元琛科技,20230426,20230529,11.41,13.23,15.95%
'300781,因赛集团,20220429,20220601,15.49,18.34,18.40%
'688088,虹软科技,20220429,20220601,22.65,24.4,7.73%
'603988,中电电机,20220429,20220601,8.35,11.32,35.57%
'002860,星帅尔,20220429,20220601,13.28,16.47,24.02%
'688095,福昕软件,20220429,20220601,88.01,91.88,4.40%
'300420,五洋停车,20220429,20220601,2.5,2.68,7.20%
'301086,鸿富瀚,20220429,20220601,51.46,56.22,9.25%
'688029,南微医学,20220429,20220601,97.52,106.6,9.31%
'002791,坚朗五金,20220429,20220601,77.68,92.35,18.89%
'300933,中辰股份,20220429,20220601,6.9,7.82,13.33%
'001210,金房能源,20220317,20220418,25.7,25.15,-2.14%
'300660,江苏雷利,20220317,20220418,21.29,19.07,-10.43%
'605178,时空科技,20220316,20220415,23.82,26.11,9.61%
'688628,优利德,20211101,20211129,24.31,26.83,10.37%
'002614,奥佳华,20211101,20211129,11.23,12.15,8.19%
'300492,华图山鼎,20210730,20210827,40.85,52.1,27.54%
'600681,百川能源,20200205,20200304,5.76,5.68,-1.39%
'300362,天翔退,20200205,20200304,2.2,2.18,-0.91%
'300210,森远股份,20200205,20200304,2.9,3.33,14.83%
'600594,益佰制药,20190211,20190311,5.06,6.86,35.57%
'600122,*ST宏图,20190201,20190308,3.15,4.94,56.83%
'600197,伊力特,20181102,20181130,13.63,14.16,3.89%
'300409,道氏技术,20181029,20181126,12.54,13.74,9.57%
'300181,佐力药业,20181022,20181119,3.7,5.78,56.22%
'000969,安泰科技,20181022,20181119,4.37,5.23,19.68%
'600371,万向德农,20181022,20181119,5.66,7.22,27.56%
'600313,农发种业,20181022,20181119,2.15,2.47,14.88%
'002357,富临运业,20181022,20181119,5.42,7.0,29.15%
'002170,芭田股份,20181022,20181119,2.52,3.15,25.00%
'300123,亚光科技,20181022,20181119,8.28,9.14,10.39%
'300183,东软载波,20181022,20181119,10.98,12.37,12.66%
'002908,德生科技,20181022,20181119,20.62,20.99,1.79%
'002114,罗平锌电,20181022,20181119,6.6,8.17,23.79%
'002805,丰元股份,20181019,20181116,13.56,15.89,17.18%
'002649,博彦科技,20181019,20181116,6.28,8.03,27.87%
'002400,省广集团,20181019,20181116,2.48,3.08,24.19%
'002137,实益达,20181019,20181116,5.72,8.52,48.95%
'300437,清水源,20181019,20181116,12.02,13.46,11.98%
'600739,辽宁成大,20181019,20181116,10.69,12.41,16.09%
'300100,双林股份,20181019,20181116,7.69,10.46,36.02%
'002802,洪汇新材,20181019,20181116,18.17,20.81,14.53%
'300058,蓝色光标,20181017,20181114,4.07,4.93,21.13%
'601881,中国银河,20181017,20181114,6.07,7.35,21.09%
'300246,宝莱特,20181017,20181114,10.79,12.45,15.38%
'000670,盈方微,20181017,20181114,3.07,4.01,30.62%
'300158,振东制药,20180823,20180920,3.95,4.03,2.03%
'002522,浙江众成,20180823,20180920,5.07,4.87,-3.94%
'000725,京东方A,20180626,20180724,3.46,3.82,10.40%
'300048,合康新能,20180622,20180720,2.45,2.94,20.00%
'002148,北纬科技,20180212,20180319,7.31,8.38,14.64%
'300246,宝莱特,20180212,20180319,15.76,19.6,24.37%
'300062,中能电气,20180212,20180319,5.46,6.06,10.99%
'002253,川大智胜,20180212,20180319,15.68,17.66,12.63%
'300625,三雄极光,20180208,20180315,21.29,22.66,6.43%
'600714,金瑞矿业,20180208,20180315,7.4,8.11,9.59%
'000816,智慧农业,20180205,20180312,2.59,4.11,58.69%
