Date	Purchases	Sales	Purchase Value	Sale Value
000000	7	4	558	5050
030728	76	184	1960	137626
030729	70	272	6576	1548186
030730	75	267	7734	4148056
030731	120	344	282741	1929841
030801	88	266	13067	5303772
030804	132	358	16085	453804
030805	112	293	11051	827906
030806	135	250	20247	197414
030807	100	236	17003	147747
030808	120	221	35845	385159
030811	93	213	8240	256889
030812	87	262	9545	349052
030813	103	288	12101	482187
030814	78	283	13268	468022
030815	63	233	3770	386112
030818	86	324	10521	312361
030819	112	309	9291	250845
030820	71	422	4895	553973
030821	104	443	44388	870141
030822	135	416	67827	464671
030825	73	341	7621	205689
030826	90	301	26114	329233
030827	92	292	596531	294522
030828	83	336	16097	347326
030829	85	340	22219	289351
030902	110	348	2448339	394710
030903	98	416	20158	2491186
030904	75	400	40182	360895
030905	69	356	5290	689493
030908	90	276	6309	1349685
030909	68	356	4452	421245
030910	81	320	23411	495052
030911	61	254	8456	447400
030912	63	205	77754	85036
030915	72	251	94181	2363819
030916	57	247	16142	887702
030917	61	269	4052	439521
030918	48	223	47667	237255
030919	52	214	8233	147992
030922	80	219	179703	219120
030923	60	206	15191	571558
030924	52	192	8271	902007
030925	59	207	7461	1584827
030926	66	160	8892	83825
030929	68	170	10421	147881
030930	88	146	9621	2498169
031001	99	177	60717	284138
031002	147	250	13616	329745
031003	53	202	60774	165576
031006	66	155	27197	231459
031007	60	189	8079	316336
031008	55	164	8646	1115073
031009	65	177	54517	334639
031010	41	137	5147	614846
031014	50	330	2322418	862533
031015	43	192	7192	91020
031016	64	188	7767	150804
031017	53	160	27747	257992
031020	60	182	4602	510066
031021	74	232	277179	394421
031022	68	214	10704	137168
031023	65	187	40732	915395
031024	71	161	101800	164889
031027	84	233	52124	1115736
031028	77	323	9645	354765
031029	39	347	3199	471121
031030	175	455	315014	494832
031031	105	366	7957	240969
031103	102	411	7361	467163
031104	99	491	25770	499696
031105	83	525	88483	679873
031106	66	456	4183	760790
031107	95	437	89047	1740340
031110	64	417	6834	878795
031112	118	678	11937	825860
031113	107	402	5535716	4718408
031114	61	374	2152040	476908
031117	93	382	248230	800857
031118	112	304	10018	296693
031119	63	320	36088	1110255
031120	81	302	10777	561151
031121	113	336	20233	1289968
031124	103	302	325121	318945
031125	97	441	51486	725702
031126	122	595	107566	1471649
031128	23	95	2766	144033
031201	84	473	2160077	624262
031202	103	366	58387	720835
031203	75	485	25485	712688
031204	95	354	11059	596130
031205	89	260	7732	270468
031208	90	234	9631	1272491
031209	89	272	22896	152948
031210	80	272	9232	309552
031211	104	250	33413	167619
031212	89	233	40730	2631527
031215	103	303	49191	492290
031216	84	308	16597	787139
031217	78	288	15908	465289
031218	89	267	3251	556022
031219	99	240	37359	2016236
031222	95	273	114686	405084
031223	107	276	36651	247474
031224	58	175	5599	468620
031229	77	271	18331	725589
031230	86	254	7788	196992
031231	74	237	25138	156207
040102	79	136	15960	2245527
040105	154	298	23173	305503
040106	95	295	19182	196231
040107	70	295	16589	267765
040108	71	208	3270	337086
040109	50	226	8048	619084
040112	69	199	18635	114915
040113	68	204	45085	147966
040114	82	201	13785	151003
040115	74	209	3110	277707
040116	84	217	868657	378175
040120	78	286	2432	252538
040121	44	228	9135	201152
040122	72	258	4972	366394
040123	90	259	45988	375010
040126	58	229	4311	1210336
040127	76	274	30095	10690346
040128	76	321	5637	2626386
040129	81	264	17021	275177
040130	84	224	10543	378735
040202	104	287	7791	281051
040203	100	432	5774	1537747
040204	102	414	5153	554096
040205	61	291	6306	1109512
040206	105	329	37427	1798984
040209	90	324	8341	407885
040210	71	370	11568	712070
040211	91	425	16773	2521092
040212	76	400	257233	957633
040213	75	474	18054	3742861
040217	101	416	7948	747383
040218	68	350	43302	522433
040219	99	493	23869	602546
040220	93	454	52366	920712
040223	83	310	23996	239772
040224	92	329	8943	201728
040225	91	354	9657	580973
040226	128	359	7651	610968
040227	66	453	7156	16336046
040301	109	403	6570	302233
040302	98	484	15046	848867
040303	101	519	9553	510236
040304	81	330	52325	901272
040305	82	375	9530	811379
040308	90	387	19471	361478
040309	76	317	41852	378999
040310	61	349	10805	843660
040311	61	271	5564	169642
040312	74	208	14176	279522
040315	96	236	13555	2286706
040316	96	245	5016	255060
040317	105	224	12050	346559
040318	75	227	9905	714680
040319	72	193	6543	215000
040322	70	196	15565	242199
040323	102	201	39285	136112
040324	82	179	35924	934937
040325	64	186	3689	215401
040326	50	168	759214	111637
040329	75	171	23088	163083
040330	52	206	16530	348600
040331	77	230	40133	508164
040401	98	250	12025	1162475
040402	133	300	18655	2634188
040405	81	312	9104	243375
040406	61	256	5750	326171
040407	64	239	11465	276997
040408	62	227	4443	142908
040409	24	77	4649	43409
040412	63	122	2787	127042
040413	81	154	16522	564929
040414	98	199	2163471	249187
040415	85	175	10215	192665
040416	94	134	16978	88346
040419	71	151	1438635	197354
040420	69	165	10569	3319504
040421	97	215	62665	192880
040422	72	195	77544	348090
040423	88	216	15708	525252
040426	103	233	41013	332614
040427	71	262	13768	294630
040428	105	327	26043	547981
040429	97	258	30249	367392
040430	97	209	21503	1046262
040503	123	205	10228	162164
040504	212	320	45771	414225
