20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'601225,陕西煤业,20240125,持仓,23.51,24.05,2.30%
'601225,陕西煤业,20231227,20240124,20.6,23.33,13.25%
'601225,陕西煤业,20231129,20231226,19.25,20.59,6.96%
'601225,陕西煤业,20231101,20231128,18.06,19.26,6.64%
'601633,长城汽车,20230926,20231031,25.8,29.38,13.88%
'601225,陕西煤业,20230829,20230925,16.97,18.76,10.55%
'601225,陕西煤业,20230801,20230828,16.23,16.98,4.62%
'601633,长城汽车,20230704,20230731,25.9,29.56,14.13%
'002466,天齐锂业,20230531,20230629,73.1,71.31,-2.45%
'601225,陕西煤业,20230428,20230530,19.24,17.36,-9.77%
'601225,陕西煤业,20230330,20230427,19.26,19.25,-0.05%
'601225,陕西煤业,20230302,20230329,19.92,19.15,-3.87%
'601225,陕西煤业,20230202,20230301,19.44,20.02,2.98%
'002415,海康威视,20221228,20230201,34.54,36.25,4.95%
'002415,海康威视,20221130,20221227,31.59,34.51,9.24%
'002415,海康威视,20221102,20221129,28.58,31.64,10.71%
'601225,陕西煤业,20221013,20221101,22.27,19.6,-11.99%
'603288,海天味业,20220913,20221012,80.44,70.79,-12.00%
'601225,陕西煤业,20220815,20220909,20.95,25.03,19.47%
'601225,陕西煤业,20220718,20220812,19.53,20.91,7.07%
'603288,海天味业,20220620,20220715,83.58,83.49,-0.11%
'601225,陕西煤业,20220520,20220617,17.18,20.73,20.66%
'601225,陕西煤业,20220419,20220519,17.1,17.19,0.53%
'601225,陕西煤业,20220317,20220415,13.9,17.55,26.26%
'601225,陕西煤业,20220303,20220316,15.02,13.22,-11.98%
'601225,陕西煤业,20220127,20220302,12.9,14.85,15.12%
'601225,陕西煤业,20211229,20220126,12.3,12.81,4.15%
'002475,立讯精密,20211201,20211228,39.58,48.18,21.73%
'002475,立讯精密,20211103,20211130,40.0,39.65,-0.88%
'002415,海康威视,20210929,20211102,54.3,51.37,-5.40%
'601225,陕西煤业,20210824,20210922,10.98,15.82,44.08%
'601225,陕西煤业,20210727,20210823,11.11,10.85,-2.34%
'601225,陕西煤业,20210629,20210726,11.08,11.04,-0.36%
'601225,陕西煤业,20210531,20210628,11.98,11.92,-0.50%
'603288,海天味业,20210428,20210528,124.72,135.83,8.91%
'601225,陕西煤业,20210330,20210427,11.2,11.44,2.14%
'601225,陕西煤业,20210302,20210329,11.0,11.35,3.18%
'601225,陕西煤业,20210126,20210301,10.83,10.77,-0.55%
'002475,立讯精密,20210114,20210125,62.31,53.5,-14.14%
'002415,海康威视,20201216,20210113,46.35,59.91,29.26%
'601225,陕西煤业,20201125,20201215,10.66,9.38,-12.01%
'002475,立讯精密,20201113,20201124,57.05,50.2,-12.01%
'002415,海康威视,20201016,20201112,39.03,48.0,22.98%
'002415,海康威视,20200910,20201015,36.5,39.4,7.95%
'002475,立讯精密,20200813,20200909,53.6,51.65,-3.64%
'603288,海天味业,20200716,20200812,133.8,153.72,14.89%
'002475,立讯精密,20200616,20200715,42.09,56.77,34.88%
'002475,立讯精密,20200519,20200615,46.3,53.4,15.33%
'603288,海天味业,20200416,20200518,103.33,112.8,9.16%
'603288,海天味业,20200317,20200414,98.0,128.5,31.12%
'002475,立讯精密,20200306,20200316,44.8,39.42,-12.01%
'002475,立讯精密,20200207,20200305,43.9,45.48,3.60%
'002475,立讯精密,20200102,20200206,37.0,44.53,20.35%
