10天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'301321,翰博高新,20221102,20221116,20.14,23.51,16.73%
'300741,华宝股份,20221013,20221027,22.79,25.64,12.51%
'688292,浩瀚深度,20221012,20221026,14.05,15.03,6.98%
'301330,熵基科技,20221012,20221026,31.73,34.12,7.53%
'300908,仲景食品,20220601,20220616,34.49,35.71,3.54%
'688220,翱捷科技,20220429,20220518,62.78,65.5,4.33%
'688219,会通股份,20220429,20220518,8.31,9.22,10.95%
'301008,宏昌科技,20220318,20220401,36.04,36.15,0.31%
'000671,ST阳光城,20220317,20220331,2.37,4.25,79.32%
'301065,本立科技,20211103,20211117,43.02,56.47,31.26%
'301052,果麦文化,20211103,20211117,26.75,30.78,15.07%
'300968,格林精密,20211103,20211117,12.74,14.2,11.46%
'301065,本立科技,20211101,20211115,43.12,62.01,43.81%
'300868,杰美特,20211029,20211112,23.7,24.89,5.02%
'300879,大叶股份,20210802,20210816,21.87,22.79,4.21%
'301001,凯淳股份,20210728,20210811,31.3,33.72,7.73%
'688159,有方科技,20210511,20210525,21.1,21.78,3.22%
'600516,方大炭素,20201028,20201111,6.24,6.66,6.73%
'000766,通化金马,20200121,20200212,6.55,6.92,5.65%
'002836,新宏泽,20190214,20190228,11.58,13.36,15.37%
