DATE,WILL5000PR,WILL5000PR_PC1,VXNCLS_VIXCLS
1977-02-01,899.97,2.05130,.
1977-03-01,888.81,-1.62263,.
1977-04-01,893.43,-0.02350,.
1977-05-01,882.18,0.30244,.
1977-06-01,919.19,0.47989,.
1977-07-01,905.66,-0.23793,.
1977-08-01,887.63,-1.47407,.
1977-09-01,887.45,-3.61348,.
1977-10-01,851.60,-5.36726,.
1977-11-01,882.39,-1.87490,.
1977-12-01,887.59,-6.97877,.
1978-01-01,836.79,-8.93172,.
1978-02-01,822.27,-8.63362,.
1978-03-01,847.81,-4.61291,.
1978-04-01,916.42,2.57323,.
1978-05-01,930.65,5.49434,.
1978-06-01,917.97,-0.13273,.
1978-07-01,969.18,7.01367,.
1978-08-01,1004.15,13.12709,.
1978-09-01,996.10,12.24294,.
1978-10-01,886.92,4.14749,.
1978-11-01,908.34,2.94088,.
1978-12-01,922.77,3.96354,.
1979-01-01,964.88,15.30731,.
1979-02-01,935.84,13.81176,.
1979-03-01,997.62,17.67023,.
1979-04-01,1004.70,9.63314,.
1979-05-01,981.15,5.42631,.
1979-06-01,1028.23,12.01129,.
1979-07-01,1038.16,7.11736,.
1979-08-01,1097.81,9.32729,.
1979-09-01,1101.82,10.61339,.
1979-10-01,1020.04,15.00925,.
1979-11-01,1075.40,18.39179,.
1979-12-01,1100.71,19.28325,.
1980-01-01,1176.99,21.98304,.
1980-02-01,1171.65,25.19768,.
1980-03-01,1026.03,2.84778,.
1980-04-01,1075.93,7.08968,.
1980-05-01,1127.14,14.87948,.
1980-06-01,1165.14,13.31511,.
1980-07-01,1242.57,19.68964,.
1980-08-01,1267.49,15.45623,.
1980-09-01,1300.90,18.06829,.
1980-10-01,1330.26,30.41253,.
1980-11-01,1466.64,36.38088,.
1980-12-01,1404.60,27.60854,.
1981-01-01,1342.17,14.03410,.
1981-02-01,1351.44,15.34503,.
1981-03-01,1415.04,37.91410,.
1981-04-01,1401.08,30.22037,.
1981-05-01,1410.97,25.18143,.
1981-06-01,1391.40,19.41913,.
1981-07-01,1382.29,11.24444,.
1981-08-01,1297.20,2.34400,.
1981-09-01,1208.44,-7.10739,.
1981-10-01,1277.45,-3.96990,.
1981-11-01,1326.22,-9.57426,.
1981-12-01,1286.24,-8.42660,.
1982-01-01,1247.35,-7.06468,.
1982-02-01,1170.37,-13.39830,.
1982-03-01,1153.70,-18.46874,.
1982-04-01,1201.46,-14.24758,.
1982-05-01,1157.85,-17.93943,.
1982-06-01,1125.13,-19.13684,.
1982-07-01,1099.70,-20.44361,.
1982-08-01,1219.94,-5.95591,.
1982-09-01,1235.79,2.26325,.
1982-10-01,1377.33,7.81870,.
1982-11-01,1435.37,8.23016,.
1982-12-01,1451.59,12.85530,.
1983-01-01,1508.98,20.97487,.
1983-02-01,1548.13,32.27697,.
1983-03-01,1600.06,38.68943,.
1983-04-01,1716.89,42.90030,.
1983-05-01,1729.91,49.40709,.
1983-06-01,1791.70,59.24382,.
1983-07-01,1733.45,57.62935,.
1983-08-01,1734.15,42.15043,.
1983-09-01,1757.86,42.24585,.
1983-10-01,1707.46,23.96884,.
1983-11-01,1747.26,21.72889,.
1983-12-01,1723.62,18.74014,.
1984-01-01,1692.65,12.17180,.
1984-02-01,1616.94,4.44472,.
1984-03-01,1633.98,2.11992,.
1984-04-01,1635.44,-4.74404,.
1984-05-01,1540.08,-10.97340,.
1984-06-01,1571.33,-12.29949,.
1984-07-01,1536.91,-11.33808,.
1984-08-01,1702.10,-1.84817,.
1984-09-01,1698.07,-3.40129,.
1984-10-01,1692.87,-0.85449,.
1984-11-01,1666.92,-4.59806,.
1984-12-01,1702.01,-1.25376,.
1985-01-01,1845.24,9.01486,.
1985-02-01,1868.27,15.54356,.
1985-03-01,1859.77,13.81841,.
1985-04-01,1852.76,13.28817,.
1985-05-01,1948.25,26.50317,.
1985-06-01,1977.84,25.87044,.
1985-07-01,1972.98,28.37316,.
1985-08-01,1953.10,14.74649,.
1985-09-01,1871.23,10.19746,.
1985-10-01,1949.96,15.18664,.
1985-11-01,2076.72,24.58426,.
1985-12-01,2164.69,27.18433,.
1986-01-01,2184.11,18.36455,.
1986-02-01,2335.94,25.03225,.
1986-03-01,2455.24,32.01848,.
1986-04-01,2434.17,31.38075,.
1986-05-01,2548.89,30.82972,.
1986-06-01,2577.65,30.32652,.
1986-07-01,2419.31,22.62212,.
1986-08-01,2570.85,31.62920,.
1986-09-01,2360.48,26.14590,.
1986-10-01,2475.41,26.94671,.
1986-11-01,2503.60,20.55549,.
1986-12-01,2434.95,12.48493,.
1987-01-01,2743.00,25.58891,.
1987-02-01,2867.81,22.76899,.
1987-03-01,2929.67,19.32316,.
1987-04-01,2873.94,18.06653,.
1987-05-01,2883.10,13.11198,.
1987-06-01,3004.91,16.57556,.
1987-07-01,3134.55,29.56380,.
1987-08-01,3245.83,26.25513,.
1987-09-01,3170.98,34.33624,.
1987-10-01,2443.29,-1.29756,.
1987-11-01,2259.44,-9.75236,.
1987-12-01,2417.12,-0.73225,.
1988-01-01,2517.81,-8.20962,.
1988-02-01,2635.73,-8.09259,.
1988-03-01,2583.95,-11.80065,.
1988-04-01,2608.52,-9.23541,.
1988-05-01,2602.61,-9.72876,.
1988-06-01,2729.65,-9.16034,.
1988-07-01,2702.23,-13.79209,.
1988-08-01,2613.45,-19.48284,.
1988-09-01,2706.67,-14.64248,.
1988-10-01,2750.80,12.58590,.
1988-11-01,2690.03,19.05738,.
1988-12-01,2738.42,13.29268,.
1989-01-01,2917.26,15.86498,.
1989-02-01,2857.86,8.42765,.
1989-03-01,2915.07,12.81449,.
1989-04-01,3053.13,17.04453,.
1989-05-01,3162.61,21.51686,.
1989-06-01,3137.01,14.92352,.
1989-07-01,3377.40,24.98566,.
1989-08-01,3440.84,31.65892,.
