50天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'835985,海泰新能,20231024,20231110,4.56,5.4,18.42%
'835985,海泰新能,20230922,20231023,5.25,4.62,-12.00%
'832735,德源药业,20230718,20230906,22.7,30.0,32.16%
'603657,春光科技,20230424,20230717,14.19,16.94,19.38%
'300371,汇中股份,20221220,20230217,11.57,13.36,15.47%
'300703,创源股份,20221031,20221114,9.48,11.15,17.62%
'871981,晶赛科技,20220927,20221025,15.45,13.6,-11.97%
'001209,洪兴股份,20220829,20220926,14.6,15.92,9.04%
'603798,康普顿,20220718,20220822,9.41,10.94,16.26%
'603040,新坐标,20220426,20220525,13.85,16.75,20.94%
'688129,东来技术,20220412,20220425,15.45,13.6,-11.97%
'600493,凤竹纺织,20220119,20220407,6.01,6.07,1.00%
'002775,文科园林,20211018,20211227,3.65,4.38,20.00%
'600159,大龙地产,20210727,20211013,2.31,2.55,10.39%
'300437,清水源,20210427,20210709,8.3,9.25,11.45%
'002776,*ST柏龙,20210326,20210330,3.4,3.88,14.12%
'300594,朗进科技,20210108,20210325,21.86,22.76,4.12%
'603006,联明股份,20201102,持仓,9.78,12.24,25.15%
'603041,美思德,20200911,20201027,13.83,15.44,11.64%
'603917,合力科技,20200701,20200715,10.54,12.34,17.08%
'000668,荣丰控股,20200318,20200615,11.21,21.12,88.40%
'603665,康隆达,20200204,20200310,19.1,21.63,13.25%
'002598,山东章鼓,20191112,20200110,5.87,6.8,15.84%
'000573,粤宏远A,20190805,20191021,2.99,2.94,-1.67%
'603041,美思德,20190430,20190712,15.4,16.73,8.64%
'002150,通润装备,20181126,20190212,6.34,6.8,7.26%
'300652,雷迪克,20180911,20181119,18.04,22.9,26.94%
'300387,富邦股份,20180619,20180904,6.7,6.14,-8.36%
'600889,南京化纤,20180212,20180315,6.16,7.14,15.91%
