10天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'301251,威尔高,20231025,20231107,39.53,41.8,5.74%
'600185,格力地产,20230721,20230803,6.06,7.06,16.50%
'002967,广电计量,20220505,20220518,15.42,16.08,4.28%
'002791,坚朗五金,20220505,20220518,78.71,85.9,9.13%
'605259,绿田机械,20220429,20220517,25.4,26.3,3.54%
'301023,江南奕帆,20220428,20220516,54.1,59.98,10.87%
'301065,本立科技,20211102,20211112,43.42,54.81,26.23%
'002537,海联金汇,20200210,20200221,6.15,7.04,14.47%
'002668,奥马电器,20190212,20190221,3.56,4.47,25.56%
'600122,*ST宏图,20190211,20190222,3.18,3.92,23.27%
'002617,露笑科技,20190131,20190308,3.22,4.64,44.10%
'002925,盈趣科技,20181023,20181105,33.24,39.0,17.33%
'002164,宁波东力,20181023,20181105,2.66,3.0,12.78%
'002357,富临运业,20181023,20181105,5.4,6.86,27.04%
'300100,双林股份,20181022,20181102,7.55,8.24,9.14%
'000670,盈方微,20181018,20181019,3.12,2.85,-8.65%
'300468,四方精创,20181016,20181029,12.4,14.06,13.39%
